deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971642) : (0.97772)) : (x<50 ? 0.97939:0.980545)) : (x<100 ? (x<80 ? (x<70 ? 0.98081:0.981163) : (0.981281)) : (x<120 ? 0.981661:0.982421))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.983735:0.982544) : (0.981165)) : (x<400 ? 0.976531:0.973397)) : (x<800 ? (x<670 ? 0.972349:0.970763) : (x<1000 ? 0.963537:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.945149) : (0.940437)) : (x<50 ? 0.939526:0.939985)) : (x<100 ? (x<80 ? (x<70 ? 0.939017:0.943887) : (0.942642)) : (x<120 ? 0.945029:0.946969))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.946817:0.94368) : (0.939811)) : (x<400 ? 0.943192:0.966467)) : (x<800 ? (x<670 ? 0.958232:0.985384) : (x<1000 ? 0.919442:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01165) : (1.03835)) : (x<50 ? 1.06099:1.07224)) : (x<100 ? (x<80 ? (x<70 ? 1.08868:1.10237) : (1.11148)) : (x<120 ? 1.13131:1.17285))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.22526:1.27298) : (1.32141)) : (x<400 ? 1.38143:1.42932)) : (x<800 ? (x<670 ? 1.5257:1.55685) : (x<1000 ? 1.90748:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.95329) : (0.964399)) : (x<50 ? 0.96818:0.970391)) : (x<100 ? (x<80 ? (x<70 ? 0.971186:0.971935) : (0.972193)) : (x<120 ? 0.972712:0.973443))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.974181:0.972) : (0.969859)) : (x<400 ? 0.964699:0.959591)) : (x<800 ? (x<670 ? 0.956094:0.945181) : (x<1000 ? 0.933421:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.861868) : (0.86618)) : (x<50 ? 0.866977:0.865779)) : (x<100 ? (x<80 ? (x<70 ? 0.864256:0.869469) : (0.868409)) : (x<120 ? 0.87257:0.875137))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.875308:0.871252) : (0.865038)) : (x<400 ? 0.870538:0.885458)) : (x<800 ? (x<670 ? 0.868315:0.889955) : (x<1000 ? 0.81023:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.787857) : (0.807239)) : (x<50 ? 0.820355:0.830778)) : (x<100 ? (x<80 ? (x<70 ? 0.846965:0.859087) : (0.868612)) : (x<120 ? 0.893598:0.934419))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.972962:1.01324) : (1.05225)) : (x<400 ? 1.08684:1.1355)) : (x<800 ? (x<670 ? 1.20214:1.17177) : (x<1000 ? 1.47039:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.989995) : (0.991041)) : (x<50 ? 0.990601:0.9907)) : (x<100 ? (x<80 ? (x<70 ? 0.990435:0.990391) : (0.990368)) : (x<120 ? 0.99061:0.991398))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993289:0.993089) : (0.992471)) : (x<400 ? 0.988363:0.987204)) : (x<800 ? (x<670 ? 0.988603:0.996346) : (x<1000 ? 0.993654:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02843) : (1.01469)) : (x<50 ? 1.01208:1.01419)) : (x<100 ? (x<80 ? (x<70 ? 1.01378:1.01831) : (1.01687)) : (x<120 ? 1.01749:1.0188))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01833:1.01611) : (1.01458)) : (x<400 ? 1.01585:1.04748)) : (x<800 ? (x<670 ? 1.04815:1.08081) : (x<1000 ? 1.02865:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.23544) : (1.26946)) : (x<50 ? 1.30162:1.31369)) : (x<100 ? (x<80 ? (x<70 ? 1.3304:1.34566) : (1.35436)) : (x<120 ? 1.36902:1.41129))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.47756:1.53273) : (1.59058)) : (x<400 ? 1.67602:1.72314)) : (x<800 ? (x<670 ? 1.84926:1.94193) : (x<1000 ? 2.34456:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.932586) : (0.949785)) : (x<50 ? 0.954548:0.956482)) : (x<100 ? (x<80 ? (x<70 ? 0.956242:0.955833) : (0.954682)) : (x<120 ? 0.953834:0.954396))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.955969:0.950582) : (0.941724)) : (x<400 ? 0.923944:0.916486)) : (x<800 ? (x<670 ? 0.899367:0.894924) : (x<1000 ? 0.861824:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.871189) : (0.890841)) : (x<50 ? 0.892519:0.892885)) : (x<100 ? (x<80 ? (x<70 ? 0.890034:0.890366) : (0.884016)) : (x<120 ? 0.883164:0.87637))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.872136:0.862336) : (0.843594)) : (x<400 ? 0.82575:0.833002)) : (x<800 ? (x<670 ? 0.827679:0.841278) : (x<1000 ? 0.787794:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.982891) : (1.0197)) : (x<50 ? 1.04042:1.04839)) : (x<100 ? (x<80 ? (x<70 ? 1.07538:1.09637) : (1.1079)) : (x<120 ? 1.13952:1.18815))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.26964:1.32815) : (1.34505)) : (x<400 ? 1.53236:1.48806)) : (x<800 ? (x<670 ? 1.65403:1.8582) : (x<1000 ? 2.08998:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.899679) : (0.923428)) : (x<50 ? 0.930786:0.934121)) : (x<100 ? (x<80 ? (x<70 ? 0.934364:0.934449) : (0.93341)) : (x<120 ? 0.931802:0.93106))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.929179:0.919078) : (0.905938)) : (x<400 ? 0.885218:0.873685)) : (x<800 ? (x<670 ? 0.854235:0.839516) : (x<1000 ? 0.790132:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.728378) : (0.739054)) : (x<50 ? 0.736958:0.734696)) : (x<100 ? (x<80 ? (x<70 ? 0.729819:0.730019) : (0.726805)) : (x<120 ? 0.727844:0.723287))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.723297:0.716821) : (0.701129)) : (x<400 ? 0.685904:0.697865)) : (x<800 ? (x<670 ? 0.68953:0.702829) : (x<1000 ? 0.615277:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.729983) : (0.748771)) : (x<50 ? 0.754393:0.750917)) : (x<100 ? (x<80 ? (x<70 ? 0.76542:0.780452) : (0.792092)) : (x<120 ? 0.795641:0.814704))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.86823:0.909745) : (0.924498)) : (x<400 ? 1.04527:1.03245)) : (x<800 ? (x<670 ? 1.17332:1.16159) : (x<1000 ? 1.70418:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.965493) : (0.976141)) : (x<50 ? 0.978311:0.978843)) : (x<100 ? (x<80 ? (x<70 ? 0.97812:0.977217) : (0.975953)) : (x<120 ? 0.975866:0.977731))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.982759:0.982086) : (0.97751)) : (x<400 ? 0.96267:0.959287)) : (x<800 ? (x<670 ? 0.944499:0.950333) : (x<1000 ? 0.933517:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.014) : (1.04263)) : (x<50 ? 1.04808:1.05107)) : (x<100 ? (x<80 ? (x<70 ? 1.05025:1.05071) : (1.04123)) : (x<120 ? 1.03848:1.02945))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02097:1.00785) : (0.986058)) : (x<400 ? 0.965597:0.968138)) : (x<800 ? (x<670 ? 0.965828:0.979726) : (x<1000 ? 0.960312:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.2358) : (1.29064)) : (x<50 ? 1.32644:1.34586)) : (x<100 ? (x<80 ? (x<70 ? 1.38535:1.41228) : (1.4237)) : (x<120 ? 1.48341:1.5616))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.67106:1.74655) : (1.76561)) : (x<400 ? 2.01944:1.94366)) : (x<800 ? (x<670 ? 2.13473:2.55481) : (x<1000 ? 2.47577:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.897324) : (0.921571)) : (x<50 ? 0.928123:0.930672)) : (x<100 ? (x<80 ? (x<70 ? 0.928949:0.926623) : (0.924595)) : (x<120 ? 0.92228:0.92197))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.922286:0.913379) : (0.900711)) : (x<400 ? 0.883885:0.872837)) : (x<800 ? (x<670 ? 0.842082:0.814797) : (x<1000 ? 0.767437:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.824724) : (0.838546)) : (x<50 ? 0.844082:0.83437)) : (x<100 ? (x<80 ? (x<70 ? 0.826684:0.822098) : (0.805661)) : (x<120 ? 0.792217:0.797713))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.769284:0.749646) : (0.702441)) : (x<400 ? 0.646675:0.664917)) : (x<800 ? (x<670 ? 0.656439:0.549349) : (x<1000 ? 0.612868:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.874219) : (0.933067)) : (x<50 ? 0.963499:1.00064)) : (x<100 ? (x<80 ? (x<70 ? 1.02903:1.03555) : (1.05238)) : (x<120 ? 1.09057:1.12553))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.15185:1.12378) : (1.15709)) : (x<400 ? 1.40711:1.54836)) : (x<800 ? (x<670 ? 1.25617:2.8141) : (x<1000 ? 0.721694:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.846798) : (0.882484)) : (x<50 ? 0.893749:0.898454)) : (x<100 ? (x<80 ? (x<70 ? 0.897526:0.895808) : (0.894185)) : (x<120 ? 0.891472:0.890888))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.888241:0.87542) : (0.858456)) : (x<400 ? 0.836801:0.822951)) : (x<800 ? (x<670 ? 0.786568:0.749243) : (x<1000 ? 0.701236:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.631266) : (0.643317)) : (x<50 ? 0.65252:0.646378)) : (x<100 ? (x<80 ? (x<70 ? 0.643045:0.64283) : (0.633623)) : (x<120 ? 0.625735:0.634451))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.616415:0.610353) : (0.56969)) : (x<400 ? 0.5246:0.540324)) : (x<800 ? (x<670 ? 0.536783:0.422306) : (x<1000 ? 0.429988:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.591211) : (0.635364)) : (x<50 ? 0.662417:0.689838)) : (x<100 ? (x<80 ? (x<70 ? 0.723538:0.73187) : (0.746488)) : (x<120 ? 0.787058:0.824666))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.852502:0.810497) : (0.887951)) : (x<400 ? 0.97983:1.1015)) : (x<800 ? (x<670 ? 0.900458:1.90927) : (x<1000 ? 0.45273:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.94785) : (0.960657)) : (x<50 ? 0.962497:0.962891)) : (x<100 ? (x<80 ? (x<70 ? 0.960371:0.957437) : (0.955005)) : (x<120 ? 0.953088:0.953053))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.956331:0.951338) : (0.942967)) : (x<400 ? 0.930969:0.922722)) : (x<800 ? (x<670 ? 0.897596:0.880351) : (x<1000 ? 0.833638:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01818) : (1.03377)) : (x<50 ? 1.03564:1.02236)) : (x<100 ? (x<80 ? (x<70 ? 1.01032:1.00137) : (0.9777)) : (x<120 ? 0.958699:0.960976))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.922154:0.888938) : (0.835193)) : (x<400 ? 0.76875:0.78951)) : (x<800 ? (x<670 ? 0.776096:0.676392) : (x<1000 ? 0.795747:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15723) : (1.23077)) : (x<50 ? 1.26458:1.31145)) : (x<100 ? (x<80 ? (x<70 ? 1.33453:1.33924) : (1.35828)) : (x<120 ? 1.39408:1.42639))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.45119:1.43706) : (1.42623)) : (x<400 ? 1.8344:1.99521)) : (x<800 ? (x<670 ? 1.61188:3.71893) : (x<1000 ? 0.990657:0)))" 
